阿党比周    相互勾结，相互偏袒，结党营私。
山河易改，本性难移    谓习惯成性，很难改变。
山积波委    谓堆积如山高，如波涛重叠。形容数量极多。
山节藻棁    古代天子的庙饰。山节，刻成山形的斗拱；藻棁，画有藻文的梁上短柱。后用以形容居处豪华奢侈，越等僭礼。
山砠水厓    石山和水滨。泛指荒僻的处所。
山枯石死    极言年代久远。
山亏一篑    《书·旅獒》“为山九仞，功亏一篑”的节缩。喻功败垂成。
山林隐逸    隐居山林的士人。即隐士。
山盟海誓    指山海为盟誓。形容男女爱情的坚定。
山明水秀    形容山水秀丽，风景优美。
山南海北    ①指辽远或不能确指的地方。②泛指四面八方。
山栖谷饮    栖息于山中，汲取谷泉而饮。指隐士生活。
山清水秀    形容风景优美。
山穷水断    见“山穷水尽”。
山穷水尽    亦作“山穷水断”。亦作“山穷水绝”。①谓山和水到了尽头。②比喻走投无路，陷入绝境。
山穷水绝    见“山穷水尽”。
山容海纳    形容胸怀宽广，能象山谷和大海一样容物。
山上无老虎，猴子称大王    俗语，比喻没有能人，普通人物亦充当主要角色。
山童石烂    谓山无草木，石头腐烂。喻不可能有的现象。
山行海宿    行于山间和宿于海上。谓行旅艰险。
山肴野蔌    亦作“山殽野湋”。野味和蔬菜。
山殽野湋    见“山肴野蔌”。
山摇地动    ①山和地都在摇动。②形容声势浩大。
山遥水远    谓道路遥远。
山餚海错    又作：山珍海味。
山阴乘兴    南朝宋刘义庆《世说新语·任诞》：“王子猷（王徽之）居山阴，夜大雪……忽忆戴安道（戴逵），时戴在剡，即便夜乘小船就之，经宿方至，造门不前而返。人问其故，王曰：‘吾本乘兴而行，兴尽而返，何必见戴？’”后因以“山阴乘兴”指访友。
山阴道上，应接不暇    南朝宋刘义庆《世说新语·言语》：“王子敬云：‘从山阴道上行，山川自相映发，使人应接不暇。’”原指景物美而多，令人目不暇接。后用以喻事物繁多，应付不及。
山阴夜雪    又作：山阴乘兴。
山吟泽唱    山歌民谣。
山雨欲来风满楼    唐许浑《咸阳城东楼》诗：“溪云初起日沉阁，山雨欲来风满楼。”后以喻重大事件发生前的紧张情势。
山珍海错    山间海中出产的珍异食品。泛指珍美丰盛的肴馔。语本南朝梁沈约《究竟慈悲论》：“秋禽夏卵，比之如浮云；山毛海错，事同於腐鼠。”
山珍海味    又作：山珍海错。
山止川行    喻坚不可摧，行不可阻。
山峙渊渟    山立水聚。比喻端庄凝重的风度。
山中无好汉，猢猻称霸王    见“山上无老虎，猴子称大王”。
山重水衤复    谓山峦重叠，水流盘曲。
山陬海澨    山隅和海边。泛指荒远的地方。
删繁就简    删除繁杂使之简要。
删华就素    放弃荣华富贵而过简朴生活。
姗姗来迟    ①语出《汉书·外戚传上·孝武李夫人》：“上思念李夫人不已，方士齐人少翁言能致其神。乃夜张灯烛，设帷帐，陈酒肉，而令上居他帐，遥望见好女如李夫人之貌，还幄坐而步。又不得就视，上愈益相思悲感，为作诗曰：‘是邪，非邪？立而望之，偏何姗姗其来迟！’”颜师古注：“姗姗，行貌。”后因以“姗姗来迟”形容女子走路缓慢从容的姿态。②形容来得很晚。
珊珊来迟    同“姗姗来迟”。形容来得很晚。
搧风点火    谓进行鼓动或煽动。
煽风点火    比喻怂恿鼓动，挑起事端。
闪烁其词    言语遮遮掩掩，吞吞吐吐。
讪皮讪脸    嘻皮笑脸。
讪牙闲嗑    谓闲得无聊，磨牙斗嘴以为笑乐。
苫眼铺眉    装模作样。
扇席温枕    见“扇枕温席”。
扇枕温衾    同“扇枕温席”。
扇枕温席    《东观汉记·黄香传》：“［香］父况……贫无奴仆。香躬执勤苦，尽心供养。冬无被袴而亲极滋味，暑即扇床枕，寒即以身温席。”后因以“扇枕温席”为孝亲的典故。
善罢干休    见“善罢甘休”。
善罢甘休    亦作“善罢干休”。轻易地了结。多用于否定。
善马熟人    良马与武艺精熟的勇士。
善眉善眼    形容容貌善良。
善男信女    原指皈依佛法的男女。后泛指信佛的男女。
善善恶恶    谓奖善嫉恶，好恶分明。
善始令终    同“善始善终”。
善始善终    ①自始至终都很好。②谓将事情从开头到结束都做得很好。
善颂善祷    善于颂扬和祈求。谓能寓规劝于颂祷之中。
善有善报，恶有恶报    谓行善和作恶到头来都有报应。
擅壑专丘    谓放情山水。
伤风败化    见“伤风败俗”。
伤风败俗    亦作“伤风败化”。败坏良好的风俗。
伤弓之鸟    受过箭伤的鸟。比喻经过祸患、心有余悸的人。典出《战国策·楚策四》：“雁从东方来，更羸以虚发而下之。魏王曰：‘然则射可至此乎？’更羸曰：‘此孽也。’王曰：‘先生何以知之？’对曰：‘其飞徐而鸣悲。飞徐者，故疮痛也；鸣悲者，久失群也，故疮未息而惊心未去也。’”
伤化败俗    败坏教化和风俗。
伤教败俗    见“伤化败俗”。
伤筋动骨    ①谓身受重伤。②比喻对事物整体作大改大动。
伤天害理    谓做事丧尽天良，违反最基本的道德准则。
伤心惨目    形容景象十分凄惨，令人不忍心看。
伤心蒿目    旧时谓志士仁人对艰危时世的关切忧虑。
伤心疾首    痛心疾首，形容痛心之至。
伤言扎语    方言。谓说讽刺话。
商彝夏鼎    夏商的青铜礼器。泛称极其珍贵的古董。
觞酒豆肉    觞，古代盛酒器；豆，古代盛食器。因以“觞酒豆肉”泛指饮食。
赏不当功    谓赏赐与功劳不相称。
赏不逾日    见“赏不逾时”。
赏不逾时    谓及时行赏。
赏罚分明    谓该赏的赏，该罚的罚，处理清楚明白。
赏罚信明    同“赏罚分明”。
赏罚严明    同“赏罚分明”。
赏高罚下    见“赏功罚罪”。
赏功罚罪    奖赏有功的人，惩罚犯罪的人。
赏劳罚罪    见“赏功罚罪”。
赏立诛必    谓该赏的立即赏，该罚的一定罚。
赏奇析疑    晋陶潜《移居》诗之一：“奇文共欣赏，疑义相与析。”后以“赏奇析疑”谓欣赏奇文而析其疑义。
赏善罚恶    谓赏赐善人善事，惩罚恶人恶事。
赏善罚否    见“赏善罚恶”。
赏同罚异    谓奖赏和自己的意见相同的，惩罚和自己的意见不同的。
赏贤罚暴    犹赏善罚恶。
赏贤使能    尊崇并重用贤能之士。赏，通“尚”。
赏心乐事    欢暢的心情和快乐的事情。
赏心悦目    看到美好的景色而心情愉快。
赏信罚必    谓该赏一定赏，该罚一定罚。
赏信罚明    同“赏罚分明”。
上窜下跳    形容四处奔走，多方串连，策划活动。
上当学乖    谓因受骗吃亏而增长了见识。
上方宝剑    见“上方剑”。
上竿掇梯    犹上树拔梯。
上根大器    佛家语。具上等根器者。亦泛指天资、才能极高的人。
上好下甚    在上者爱好什么，在下者必爱好得更厉害。
上和下睦    谓长幼之间或上下级之间相处得很好。
上陵下替    同“下陵上替”。
上楼去梯    ①《三国志·蜀志·诸葛亮传》：“（刘琦）每欲与亮谋自安之术，亮辄拒塞，未与处置。琦乃将亮游观后园，共上高楼。饮宴之间，令人去梯，因谓亮曰：‘今日上不至天，下不至地，言出子口，入於吾耳，可以言未？’”后因称秘密的谈话为“去梯言”。②比喻怂恿人上当。
上漏下湿    形容屋舍破旧，不蔽风雨。
上嫚下暴    同“上慢下暴”。
上慢下暴    谓君上骄慢，下民强暴。
上南落北    漫言各处去向，又作：走南闯北。
上篇上论    谓说话引经据典，有根据。
上树拔梯    比喻诱使别人上前而断其退路。
上替下陵    同“下陵上替”。
上天入地    ①升上天空，钻入地下。形容神通广大。②比喻为实现某种目的而四处奔走。
上下其手    《左传·襄公二十六年》载，楚攻郑，穿封戌虏郑将皇颉，公子围与之争功，请伯州犁裁处。伯州犁曰：“请问於囚。”囚出作证，伯州犁有意偏袒公子围，故意上其手，曰：“夫子为王子围，寡君之贵介弟也。”下其手，曰：“此子为穿封戌，方城外之县尹也。谁获子。”囚曰：“颉遇王子，弱焉。”后因谓玩弄手法，通同作弊曰“上下其手”。
上下同心    上下一心。
上下同欲    上下有共同的愿望，谓众心齐一。
上下一心    上级与下级思想愿望完全一致。
上行下效    在上者怎样做，在下者就跟着学。语出汉班固《白虎通·三教》：“教者，效也，上为之，下效之。”
上溢下漏    谓上富下贫。
上援下推    谓相互济助，共同前进。语出《礼记·儒行》：“適弗逢世，上弗援，下弗推，谗谄之民，有比党而危之者。”
上蒸下报    泛指乱伦的性行为。
捎关打节    谓打通关节。
烧琴煮鹤    拿琴当柴烧，把鹤煮了吃。比喻糟塌美好的事物。
烧犀观火    喻洞察事物。
稍安毋躁    暂且耐心等待一下，不要急躁。
稍黩筐篚    谓颇贪财物。黩，贪黩不厌；筐篚，盛器，用以比喻财礼。
稍关打节    指暗中贿赂，拉关系，说人情。也称通关节。
稍逊一筹    比较起来，略微差一些。
稍纵即逝    稍一放松就过去了。形容时间或机会极易失去。
稍纵则逝    见“稍纵即逝”。
勺水一脔    一勺水，一塊肉。喻量少。
韶颜稚齿    谓年轻而容貌美好。
少安无躁    稍稍安静，不要急躁。
少安毋躁    见“少安无躁”。
少不更事    谓年轻，阅历世事不多。语出《晋书·周顗传》：“君少年未更事。”
少不经事    见“少不更事”。
少成若性    谓自幼形成的习惯好象天性一样。
少吃俭用    省吃俭用。
少见多怪    谓见闻少，遇不常见的事物多以为怪。语本汉牟融《理惑论》：“谚云：‘少所见，多所怪，睹馲驼，言马肿背。’”
少年老成    谓年轻而稳重，有如阅历多的年长者。语本汉赵岐《三辅决录·韦康》：“韦元将年十五，身长八尺五寸，为郡主簿。杨彪称曰：‘韦主簿年虽少，有老成之风，昂昂千里之驹。’”
少年老诚    见“少年老成”。
少气无力    气不壮，没力量。形容精神不振。
少条失教    谓没规矩，无教养。
少言寡语    谓平时说话不多。
舌敝脣焦    谓说话过多，致使舌疲脣干。形容费尽口舌。
舌敝脣枯    见“舌敝脣焦”。
舌剑脣枪    谓能言善辩，言辞犀利。
舌剑脣鎗    见“舌剑脣枪”。
蛇杯弓影    见“蛇影杯弓”。
蛇灰蚓线    比喻有相应的线索可循。
蛇毛马角    蛇生毛，马出角，世界上不可能存在的事物。因以指有名无实者。
蛇盘鬼附    比喻相互勾结。
蛇蟠蚓结    比喻互相勾结。
蛇雀之报    指大蛇衔明珠、黄雀衔白环报恩的故事。隋侯出行见大蛇被伤中断，以药封之，蛇乃能行，岁余，蛇衔明珠以报之，谓之隋侯珠、明月珠。见《淮南子·览冥训》汉高诱注、晋干宝《搜神记》卷二十。杨宝幼时见一黄雀为鸱枭所搏，坠于树下，为蝼蚁所困，宝救之养百余日飞去，其夜有黄衣童子以白环四枚相报，并云当使其子孙洁白，位登三事，有如此环。见《后汉书·杨震传》李贤注引《续齐谐记》。后以“蛇雀之报”为报恩的典故。
蛇入鼠出    比喻行动隐秘。
蛇神牛鬼    比喻各色邪恶或各种歪人。
蛇食鲸吞    比喻强者并吞弱者。
蛇螫断腕    喻小害能坏大事。
蛇头蝎尾    指蛇蝎之毒。蛇之毒在牙咬，蝎螫毒在尾刺，故称。亦泛指毒害人的东西。
蛇心佛口    蛇蝎心，菩萨嘴。形容内心恶毒，口头仁慈，心口不一。
蛇行鳞潜    比喻行动极为谨慎隐蔽。
蛇行鼠步    形容胆小谨慎。
蛇影杯弓    把酒杯中的弓影当成了蛇。汉应劭《风俗通·怪神》记杜宣饮酒，见杯中似有蛇，酒后胸腹作痛，多方医治不愈；后知为壁上所悬赤弩照于杯，形如蛇，病即愈。《晋书·乐广传》也有类似的记述。后用“蛇影杯弓”形容因疑虑而引起恐惧。
蛇珠雀环    同“蛇雀之报”。
舍本从末    见“舍本逐末”。
舍本求末    放弃根本，追求末节。
舍本逐末    《吕氏春秋·上农》：“民舍本而事末则不令。”《汉书·食货志下》：“铸钱采铜，一岁十万人不耕……弃本逐末，耕者不能半，奸邪不可禁，原起於钱。”谓舍弃农耕，从事工商。古以农耕为本，工商为末。后因以“舍本逐末”比喻做事不注意根本，只抓细微末节。
舍策追羊    放下手中书本去寻找丢失的羊。比喻发生错误以后，设法补救。语本《庄子·骈拇》：“臧与榖二人相与牧羊，而俱亡其羊。问臧奚事？则挟筴读书；问榖奚事？则博塞以游。”陆德明释文：“筴，字又作策，初革反。李云：竹简也。古以写书，长二尺四寸。”
舍道用权    谓变通常道以适应现实的需要。
舍短录长    见“舍短取长”。
舍短取长    舍其所短，用其所长。
舍己成人    牺牲自己利益，成全别人。
舍己从人    放弃自己的成见听从别人的正确意见。
舍己芸人    《孟子·尽心下》：“人病舍其田而芸人之田，所求於人者重，而所以自任者轻。”赵岐注：“芸，治也；田以喻身。舍身不治，而欲责人治，是求人太重，自任太轻。”后以“舍己芸人”指看重别人，轻视自己。
舍近即远    见“舍近务远”。
舍近谋远    语本《孟子·离娄上》：“道在迩而求诸远。”意谓舍弃近便的，追求遥远而无把握的。
舍近求远    见“舍近务远”。同“舍近谋远”。
舍近务远    放弃近的，谋求远的。
舍经从权    同“舍道用权”。
舍旧谋新    语出《左传·僖公二十八年》：“原田每每，舍其旧而新是谋。”杜预注：“可以谋立新功，不足念旧惠。”后指弃旧求新。
舍生存义    见“舍生取义”。
舍生取义    语本《孟子·告子上》：“生，亦我所欲也；义，亦我所欲也。二者不可得兼，舍生而取义也。”后以“舍生取义”谓为正义而牺牲生命。
舍生取谊    见“舍生取义”。
舍实听声    不察实际，只听虚名。
舍死忘生    谓不顾生命危险。
设身处地    设想自己处在另一人的地位或环境中。
设心处虑    见“设心积虑”。
设心积虑    处心积虑；用尽心思。
社会贤达    指不属任何党派而具有广泛社会声望的人士。
社鼠城狐    同“城狐社鼠”。宗庙里的鼠，城隍庙里的狐。比喻狡猾而依势作恶的奸人。
射利沽名    谋取财利和名誉。
射人先射马    喻作事要先抓住要害。
射石饮羽    射箭入石中，陷没箭上的羽毛。谓勇猛善射。传其事者有四：①指春秋楚养由基。《吕氏春秋·精通》：“养由基射先，中石，矢乃饮羽，诚乎先也。”按，“先”为“兕”的误字。《论衡·儒增》、《文选·七启》李善注、《路史·发挥三》皆作“兕”。②指春秋熊渠子。《韩诗外传》卷六：“昔者楚熊渠子夜行，寝石，以为伏虎，弯弓而射之，没金饮羽。下视，知其为石。”③指汉李广。《史记·李将军列传》：“广出猎，见草中石，以为虎而射之，中石没镞。”裴骃集解引徐广曰：“一作‘没羽’。”④指北周李远。《周书·李远传》：“（远）尝猎於莎栅，见石於丛蒲中，以为伏兔，射之而中，镞入寸馀。就而视之，乃石也。”后为用心精诚或功力深湛之典，见唐李白《豫章行》。
射像止啼    喻威名远震，使人畏服。《汉书·酷吏传·郅都》：“匈奴至为偶人象都（郅都），令骑驰射，莫能中，其见惮如此。此为射像事。”《新唐书·郝玼传》：“虏大畏，道其名，以怖啼。”此为止啼事。后遂合用以为典实。
射影含沙    相传江南水中有毒虫名蜮，人在岸上，影见水中，即以气为矢，或含沙以射人。及著皮肌，其疮如疥，中影者亦病。后因称阴谋中伤他人为“射影含沙”。
射鱼指天    向天射鱼。喻虽劳而必无所获。
涉笔成趣    谓动笔就能构成意趣。
赦过宥罪    谓赦免过错，宽恕罪行。
赦事诛意    谓不问其实际行动而但推究其居心以定罪责。
摄威擅势    谓凭借权势，专横跋扈。
申旦达夕    自夜至晨，自晨到夜。形容日夜不止。
伸冤理枉    洗雪冤枉。
身败名隳    见“身败名裂”。
身败名裂    地位丧失，名声败坏。谓遭到彻底失败。
身不由己    身体不能由自己做主。指行动不能由自己支配。
身不由主    见“身不由己”。
身不遇时    谓没有遇到好的时机。
身操井臼    语本《后汉书·冯衍传下》：“衍娶北地任氏女为妻，悍忌，不得畜媵妾，兒女常自操井臼。”后因以“身操井臼”指亲自操持家务。
身当其境    见“身临其境”。
身当矢石    形容亲自抵挡敌人进攻。
身非木石    谓自身并不是毫无感情的人。
身废名裂    见“身败名裂”。
身怀六甲    六甲，传说为天帝造物之日。后因以“身怀六甲”谓妇女怀孕。
身寄虎吻    谓把身子置于老虎嘴边。比喻处境极其危险。
身家性命    全家的生命和财产。
身经百战    谓亲身经历过无数次战斗或斗争。
身历其境    见“身临其境”。
身临其境    谓亲身面临那种境地。
身名俱败    又作：身名俱灭。
身名俱灭    谓身躯与名声一齐毁灭。
身名俱泰    名誉、地位都安稳。形容生活舒泰。
身名两泰    见“身名俱泰”。
身强力壮    身体强壮，精力充沛。
身轻言微    谓地位低下，言论主张不被重视。
身首异处    身体和头颅分在不同地方。指被杀头。
身首异地    见“身首异处”。
身体发肤    语出《孝经·开宗明义》：“身体发肤，受之父母，不敢毁伤，孝之始也。”本指身躯、四肢、须发、皮肤，后亦泛指自己身体的全部，自身。
身体力行    《淮南子·氾论训》：“圣人以身体之。”《礼记·中庸》：“力行近乎仁。”后以“身体力行”谓亲身体验，努力实行。
身退功成    谓功业成就，退隐家园。
身外之物    个人身体以外的东西，指名誉、地位、财产等。
身微力薄    谓地位低下，财力不足。
身无长物    语本南朝宋刘义庆《世说新语·德行》：“（王恭）对曰：‘丈人不悉恭，恭作人无长物。’”后以“身无长物”形容极其贫穷。
身无寸缕    谓身上没有一寸线。形容极其穷困。
身无寸铁    身边没有武器。谓赤手空拳。
身无立锥    形容没有容身之地。
身无完肤    ①《三国志·魏书·邓艾传》“子忠与艾俱死”裴松之注引《世语》：“师纂亦与艾俱死……死之日体无完皮。”后以“身无完肤”指被打得遍体鳞伤。②比喻遭到攻击或破坏后难以自存的局面。
身无择行    谓一身行为遵循法则而无其他选择。
身先朝露    谓身体比早晨露水消失还快。比喻很快死亡。
身先士众    见“身先士卒”。
身先士卒    语本《史记·淮南衡山列传》：“当敌勇敢，常为士卒先。”后因以“身先士卒”谓作战时将帅冲在士兵前面，奋勇杀敌。
身显名扬    身世显赫，声名远扬。
身心交病    身体衰弱，精神不振。
身心交瘁    见“身心交病”。
身遥心迩    又作：身远心近。
身远心近    谓身体相隔虽远，但是双方的心却贴得很近。
身在曹营心在汉    三国时刘备（后为蜀汉皇帝）部将关羽身陷曹操营，封侯赐爵，宴请赠金，恩礼非常，但关羽仍心怀故主。后挂印封金，回到刘备身边。事见《三国演义》第二五回。后多以“身在曹营心在汉”比喻坚持节操，忠贞不二。
身在江湖，心存魏阙    《吕氏春秋·审为》：“中山公子牟谓詹子曰：‘身在江海之上，心居乎魏阙之下，奈何？’”后以“身在江湖，心存魏阙”指虽不居官，仍关怀朝政。
身在江湖，心悬魏阙    见“身在江湖，心存魏阙”。
身在林泉，心怀魏阙    见“身在江湖，心存魏阙”。
身做身当    谓自己做事自己承当。
深闭固拒    见“深闭固距”。
深闭固距    紧紧闭关，坚决抵制。
深壁固垒    犹深沟高垒。
深藏若虚    把宝物深深收藏起来，好像没有一样。比喻人有真才实学而不外露。
深仇大恨    亦作“深雠大恨”。谓极深的仇恨。
深仇宿怨    犹深仇大恨。
深雠大恨    见“深仇大恨”。
深刺腧髓    穿穴入骨。形容深透理解。腧，穴位。
深恶痛疾    见“深恶痛绝”。
深恶痛嫉    见“深恶痛绝”。
深恶痛绝    极其厌恶、痛恨。语出《孟子·尽心下》“斯可谓之乡愿矣”宋硃熹集注：“过门不入而不恨之，以其不见亲就为幸，深恶而痛绝之也。”
深根固本    同“深根固柢”。
深根固柢    谓使根基深固而不可动摇。
深根固蒂    同“深根固柢”。
深根宁极    ①谓深藏静处。②根柢牢固。
深根蟠结    犹盘根错节。比喻恶势力根基深厚，勾结紧密。
深耕易耨    深耕土地，勤除杂草。谓勤于农事。
深沟壁垒    犹深沟高垒。
深沟高垒    深挖沟、高筑墙。谓构筑牢固的防御工事。
深沟固垒    犹深沟高垒。
深谷为陵    深谷变成山陵。常喻人世间的重大变迁。
深计远虑    犹深思远虑。
深奸巨猾    犹老奸巨猾。
深见远虑    看得深，想得远。
深扃固钥    把门窗关紧锁严。比喻把事物的真相隐藏起来而不使之外露。
深居简出    ①藏身于隐密之处，很少外出。②常指待在家里很少出门。
深厉浅揭    《诗·邶风·匏有苦叶》：“深则厉，浅则揭。”硃熹集传：“以衣而
深明大义    谓识大体，顾大局。
深铭肺腑    深深铭记于心。
深谋远虑    谓计划周密，考虑深远。
深切著白    见“深切著明”。
深切著明    深刻而显明。
深情底理    事情的内里真情与根由。
深情厚谊    见“深情厚意”。
深情厚意    深厚的情意。
深仁厚泽    谓深厚的仁爱和恩惠。
深入膏肓    谓毛病已经无可救药。
深入骨髓    形容达到极深极重的程度。
深入浅出    对内容的理解十分深刻，表达却浅显易懂。
深入显出    见“深入浅出”。
深山长谷    见“深山穷谷”。
深山老林    见“深山穷林”。
深山密林    见“深山穷林”。
深山穷谷    与山外距离远、人迹罕至的山岭、山谷。
深山穷林    与山外、林外距离远的、人迹罕至的山岭、森林。
深山野墺    荒僻的大山深处。
深山幽谷    见“深山穷谷”。
深思熟虑    反复地深入细致地思考。
深思远虑    想得深，考虑得远。
深图远算    见“深谋远虑”。
深惟重虑    犹深思熟虑。
深文大义    深奥的大道理。
深文附会    见“深文傅会”。
深文傅会    牵强而苛细地援引法律条文陷人以罪。
深文峻法    又作：严刑峻法。
深文巧诋    罗织罪名，蓄意毁谤。
深文曲折    歪曲地援引法律条文，不露痕迹地陷人于罪。
深文周内    歪曲或苛刻地援引法律条文，陷人以罪。
深文周纳    见“深文周内”。
深猷远计    见“深谋远虑”。
深宅大院    房屋多、院子大的住宅。
深中笃行    谓内心廉正，行为淳厚。
深中隐厚    内心廉正忠厚。
神安气集    精神安定，气息凝集。
神兵天将    比喻英勇善战、行动迅捷的军队。
神不附体    形容心神不定。
神不收舍    见“神不守舍”。
神不守舍    亦作“神不收舍”。形容心神不安定。
神不知鬼不觉    谓形迹隐秘，不为人知。
神不知鬼不晓    见“神不知鬼不觉”。
神采飞扬    脸上的神态焕发有神。
神采焕发    精神焕发，风采动人。
神采奕奕    ①形容精神旺盛，容光焕发。②指艺术作品生动传神。
神采英拔    谓人的容貌、仪态英俊非凡。
神藏鬼伏    比喻变化莫测。
神差鬼遣    同“神差鬼使”。
神差鬼使    谓某些凑巧的事发生，像有鬼神在暗中操纵、指使。常用以比喻预料不到、不由自主。
神超形越    谓身心超逸，不同凡俗。
神驰力困    形容心神向往，情思昏沉。
神抶电击    谓如神电之笞击。喻进击疾速。
神出鬼没    ①比喻用兵的变化，或隐或现，迅速巧妙而难以捉摸。语出《淮南子·兵略训》：“善者之动也，神出而鬼行。”②泛指变化神奇，难以捉摸。
神出鬼入    ①同“神出鬼没”。②又作：灵魂出窍。
神到之笔    又作：神来之笔。
神短气浮    谓心性浅薄浮躁。
神而明之    《易·系辞上》：“化而裁之，存乎变；推而行之，存乎通；神而明之，存乎其人。”韩康伯注：“体神而明之，不假於象，故存乎其人。”孔颖达疏：“言人能神此易道而显明之者，存在於其人。”后以“神而明之”谓表明玄妙的事理。
神飞气扬    精神振奋，意气昂扬。
神飞色舞    犹眉飞色舞。形容兴高采烈。
神工鬼斧    喻技艺精巧，似有神助。
神工鬼力    比喻神奇超人的力量。
神工天巧    形容建筑、布置的奇妙，非人力所能为。
神工意匠    形容建筑、绘画等构思精妙，非人力所能为。
神功圣化    指帝王的功绩和教化。旧时对人君的颂扬之辞。
神鬼莫测    形容诡秘难知。
神嚎鬼哭    见“神号鬼哭”。
神号鬼哭    形容哭声非常凄厉悲惨。
神号鬼泣    见“神号鬼哭”。
神乎其技    形容技艺或手法十分高明。
神乎其神    谓神奇奥妙到了极点。
神譁鬼叫    形容大喊大叫。
神会心融    又作：融会贯通。
神魂荡飏    形容精神飘忽。
神魂颠倒    ①形容极为向往、入迷。②心神不宁，失去常态。
神魂飞越    形容写作时想象力肆意驰骋。
神魂飘荡    形容精神飘忽。
神机鬼械    形容计谋阴险狡诈。
神机妙算    灵巧的心思，奇妙的谋划。形容计谋高明有预见。
神奸巨蠹    指有势力的奸狡恶人。
神奸巨猾    见“神奸巨蠹”。
神閒气定    神气悠闲安静。
神焦鬼烂    形容残破毁坏达到极点。
神经错乱    ①指精神病。②谓精神和思虑迷糊不清，失去常态。
神经过敏    ①症状名。神经系统的感觉机能异常锐敏，神经衰弱患者大都有这种症状。②泛指多疑，好大惊小怪。
神来气旺    又作：运气旺盛。
神来之笔    指文艺创作中不期而至的精采文墨。常用以形容作品的意境和技法奇妙绝伦。
神领意得    形容领悟透彻。
神领意造    谓用心神领会和创造艺术形象。
神流气鬯    精神气息流暢通达。
神龙见首    清赵执信《谈龙录》：“昉思嫉时俗之无章也，曰：‘诗如龙然，首尾爪角鳞鬣，一不具，非龙也。’司寇哂之曰：‘诗如神龙，见其首不见其尾，或云中露一爪一鳞而已，安得全体？’”后以“神龙见首”指诗文跌宕多姿。
神龙见首不见尾    见“神龙见首”。
神龙马壮    喻身体健壮、气宇轩昂。
神龙失埶    喻失去权位。埶，同“势”。
神眉鬼道    形容花样多，有些神秘莫测。
神眉鬼眼    形容面部装出怪模样。
神迷意夺    谓精神迷乱，情思恍惚。
神灭形消    指死亡。
神谟庙算    指神奇的谋略和计划。
神谟远算    见“神谟庙算”。
神谋魔道    犹神差鬼使。
神怒人怨    谓人人怨恨愤怒。
神气活现    形容十分得意傲慢的样子。
神牵鬼制    谓受到多方面牵制而不能任意行事。
神清骨秀    形容人长得神态清朗，气质秀美。
神清气朗    ①形容人心神清爽。②形容人长得神态清明，气质爽朗。
神清气茂    谓心神清朗，资质秀美。
神清气爽    ①形容人神志清爽，心情舒暢。②形容人长得神态清明，气质爽朗。
神情不属    又作：心不在焉。
神区鬼奥    指神奇深幽的地方。
神融气泰    精神融和气息通泰。
神丧胆落    形容心神极为惊恐不安。
神色自若    神情面色镇定如常。
神圣工巧    中医对望、闻、问、切四种方法的别称。语出《难经·神圣工巧》：“望而知之谓之‘神’，闻而知之谓之‘圣’，问而知之谓之‘工’，切脉而知之谓之‘巧’。”
神施鬼设    谓不是人，而是神鬼所设计的。形容安排极为巧妙。
神使鬼差    见“神差鬼使”。
神逝魄夺    又作：魂飞魄散。
神枢鬼藏    谓神奇奥妙的兵书。
神输鬼运    见“神运鬼输”。
神思恍惚    心神不定，意念模糊。
神竦心惕    肃敬貌。
神通广大    形容本领、手段极为高强。
神头鬼脸    ①形容不愉快的脸色。②喻蓬头乱发，不加修饰。
神头鬼面    ①比喻竞奇立异，故弄玄虚。②见“神头鬼脸”。③古代杂剧十二科目之一。参阅《太和正音谱·杂剧十二科》。
神完气足    精神饱满，气息充足。
神往神来    指精神相通。
神武挂冠    南朝梁陶弘景“家贫，求宰县不遂。永明十年，脱朝服挂神武门，上表辞禄”。见《南史·隐逸传下·陶弘景》。后以“神武挂冠”指辞官隐居。
神仙中人    ①谓神采、仪态、服饰、举止不同凡俗的人。②谓像神仙一般自在快活之人。
神闲气静    见“神閒气定”。
神霄绛阙    原指仙境。亦用以形容帝王高深华美的宫殿。
神摇目夺    形容心神荡漾，目光被吸引。
神怡心旷    精神愉悦，心胸开阔。
神怿气愉    形容欢欣愉快。
神意自若    见“神色自若”。
神郁气悴    精神郁结劳悴。
神运鬼输    ①形容运输迅疾。②以喻偷漏。
神湛骨寒    形容危惧。
神至之笔    形容艺术作品的技法非常奇妙。
神州赤县    战国时齐人邹衍称华夏之地为“赤县神州”。见《史记·孟子荀卿列传》。唐刘禹锡《为京兆尹答于襄州第一书》：“盖神州赤县，尊有所厌，非他土之比。”后遂以“赤县神州”或“神州赤县”为中国的别称。
神醉心往    心神陶醉向往。
沈博绝丽    指文章内容深沉渊博，文辞极其华丽。
沈烽静柝    烽火熄灭，柝声寂静。喻边疆无战事。
沈静寡言    见“沈默寡言”。
沈李浮瓜    三国魏曹丕《与朝歌令吴质书》：“浮甘瓜於清泉，沈硃李於寒水。”谓天热把瓜果用冷水浸后食用。后以“沈李浮瓜”借指消夏乐事。亦用以泛指消夏果品。
沈密寡言    犹沉默寡言。
沈默寡言    性情沉静，很少说话。
沈谋研虑    犹深谋熟虑。
沈谋重虑    见“沈谋研虑”。
沈声静气    谓声调低沉，态度平和。
